月,期首残(品番),新規(品番/月),処理(品番/月),純減(品番/月),期末残(品番)
2025-08,2600.0,24.0,200,176.0,2424.0
2025-09,2424.0,24.0,200,176.0,2248.0
2025-10,2248.0,24.0,200,176.0,2072.0
2025-11,2072.0,24.0,200,176.0,1896.0
2025-12,1896.0,24.0,200,176.0,1720.0
2026-01,1720.0,24.0,200,176.0,1544.0
2026-02,1544.0,24.0,200,176.0,1368.0
2026-03,1368.0,24.0,200,176.0,1192.0
2026-04,1192.0,24.0,200,176.0,1016.0
2026-05,1016.0,24.0,200,176.0,840.0
2026-06,840.0,24.0,200,176.0,664.0
2026-07,664.0,24.0,200,176.0,488.0
2026-08,488.0,24.0,200,176.0,312.0
2026-09,312.0,24.0,200,176.0,136.0
2026-10,136.0,19.2,160,140.8,0.0
